indexInPlaylistFile|song_id|song_name|artist_name|popularity|acousticness|energy|liveness|tempo|speechiness|instrumentalness|time_signature|danceability|key|duration_ms|loudness|valence|mode|playlist|old_playlist|count
1|7vRriwrloYVaoAe3a9wJHe|i hate u, i love u (feat. olivia o'brien)|gnash|83|0.687|0.275|0.101|92.6|0.3|0|4|0.492|6|251034|-13.4|0.18|0|sad|breakup|7
2|3hB5DgAiMAQ4DzYbsMq1IT|Love Yourself|Justin Bieber|64|0.835|0.378|0.28|100.418|0.438|0|4|0.609|4|233720|-9.828|0.515|1|sad|breakup|4
3|3ArYVrRb0lDBLzuJJqIXzC|River Of Tears|Alessia Cara|68|0.928|0.372|0.146|89.701|0.0468|0|4|0.388|6|254507|-5.72|0.285|1|sad|breakup|3
4|50yHVBbU6M4iIfqBI1bxWx|Rumour Has It|Adele|65|0.617|0.748|0.167|120.052|0.0445|0|4|0.612|0|223267|-5.014|0.574|1|sad|breakup|2
5|6ZANrVuAMp2rpjhfbOuJly|Same Old Love|Selena Gomez|70|0.0223|0.593|0.214|98.02|0.0304|0|4|0.672|11|229080|-4.01|0.438|0|sad|breakup|1
6|6QPKYGnAW9QozVz2dSWqRg|Someone Like You|Adele|79|0.893|0.321|0.0996|135.047|0.028|0|4|0.554|9|285240|-8.251|0.288|1|sad|breakup|3
7|1qk9ujVgudgU8CyhKOx8ji|Somebody That I Used To Know - feat. Kimbra|Gotye|62|0.571|0.515|0.0947|129.048|0.0367|7.92E-05|4|0.864|0|244893|-6.967|0.755|1|sad|breakup|1
8|5Km6e8PWkwEPVKlifElIDB|Start Again|Conrad Sewell|62|0.68|0.343|0.122|66.543|0.0407|3.5E-06|3|0.553|10|217974|-9.466|0.216|1|sad|breakup|1
9|62NVyyEBiRxGae3SeB97nl|Stay With Me|Sam Smith|34|0.521|0.441|0.106|84.672|0.0435|0.000135|4|0.453|0|172724|-6.275|0.184|1|sad|breakup|3
10|1WP1r7fuvRqZRnUaTi2I1Q|Stitches|Shawn Mendes|43|0.0152|0.754|0.0486|149.882|0.067|0|4|0.746|1|206880|-6.681|0.764|1|sad|breakup|2
11|3qqho4PnTn3zlMPBzWhFFD|Ugly Heart|G.R.L.|67|0.019|0.786|0.323|124.96|0.0463|0|4|0.65|9|198307|-5.488|0.446|1|sad|breakup|1
12|06KyNuuMOX1ROXRhj787tj|We Don't Talk Anymore (feat. Selena Gomez)|Charlie Puth|80|0.621|0.563|0.179|100.017|0.134|0|4|0.728|1|217707|-8.053|0.352|0|sad|breakup|2
13|3pzjHKrQSvXGHQ98dx18HI|What Do You Mean?|Justin Bieber|60|0.59|0.567|0.0811|125.02|0.0956|0.00142|4|0.845|5|205680|-8.118|0.793|0|sad|breakup|3
14|5TYv5CM1NEFVi2t6QPDjtW|Who You Lovin|Conrad Sewell|39|0.22|0.852|0.0681|110.979|0.0601|1.49E-06|4|0.85|7|232080|-3.855|0.766|0|sad|breakup|1
15|2vwlzO0Qp8kfEtzTsCXfyE|Wrecking Ball|Miley Cyrus|75|0.407|0.422|0.107|119.964|0.0342|0|4|0.53|5|221360|-6.262|0.349|1|sad|breakup|3
16|2TY8WCR5gdOwsNOJuOeduG|Amnesia|5 Seconds of Summer|57|0.0343|0.497|0.162|101.671|0.0303|0|4|0.594|2|237248|-5.26|0.101|1|sad|breakup|1
17|2pyhJF2s7myJiXP9ceczB9|Black Widow|Iggy Azalea|55|0.192|0.72|0.109|163.99|0.124|0.000386|4|0.743|11|209423|-3.753|0.519|1|sad|breakup|1
18|3EofjRgUI1WrzqqtLb8NoF|Cheyenne|Jason Derulo|60|0.0126|0.768|0.122|99.679|0.127|7.13E-06|4|0.554|6|215107|-5.812|0.324|0|sad|breakup|1
19|1huvTbEYtgltjQRXzrNKGi|Don't|Ed Sheeran|77|0.0113|0.608|0.635|95.049|0.0659|0|4|0.806|1|219840|-7.008|0.849|1|sad|breakup|1
